year,pacfa_id,license_no,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude,animal_type,measure,value
2007,5230.0,Pl001Ecu,Pet Animal Small Shelter,Almost Home Adoptions,7713 W. 92Nd Ave.,Westminster,Co,80021.0,Adams County,39.856434,-105.063376,Cat,Owner Relinquished,9
2007,5230.0,Pl001Ecu,Pet Animal Small Shelter,Almost Home Adoptions,7713 W. 92Nd Ave.,Westminster,Co,80021.0,Adams County,39.856434,-105.063376,Cat,Transfer Out,5
2007,515.0,,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,,Cat,Adoption,19
2007,515.0,,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,,Cat,Other Intake,19
2007,515.0,,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,,Dog,Adoption,81
2007,515.0,,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,,Dog,Other Intake,82
2007,515.0,,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,,Dog,Transfer Out,1
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Cat,Adoption,486
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Cat,Death,17
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Cat,Euthanasia,9
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Cat,Other Intake,516
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Cat,Owner Relinquished,7
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Cat,Transfer Out,7
2007,4541.0,Pl000Kvf,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424,Dog,Other Intake,3
2007,1161.0,,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,,Dog,Adoption,1
2007,1161.0,,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,,Dog,Euthanasia,5
2007,1161.0,,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,,Dog,Other Intake,9
